Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
254,Scott Charter School,K-12,Academics Plus Public Charter Schools,0.273,0.455,0.364,0.364,0.273,204,0.5833,0.4069,0.0833,0.4755,0.03,0.59,3,11,11,1,17.2,16.3,17.3,18.9,1,PULASKI,6040704,6040700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,17.2,17.3
255,Scranton High School,12-Jul,Scranton School District,0.208,0.375,0.333,0.333,0.167,207,0.4734,0.9082,0.0193,0,0.07,0.09,1,27,24,0.888888889,18,18.1,19.9,19.9,0,LOGAN,4204019,4204000,Arkansas,35.3613962,-93.5388009,1003 Olive Street,72863,Logan County,Scranton,5083,"1003 Olive Street, Scranton, Arkansas, 72863",950100,5083950100,2023,950100,Logan County,Arkansas,231,54,31,137,9,3053,121,225,1158,678,243,390,238,23.4,13.4,59.3,3.9,4,7.4,37.9,22.2,8,12.8,7.8,1589,64727,70977,4125,180,4.4,3945,95.6,3757,91.1,0,0,12,0.3,54,1.3,0,0,11,0.3,111,2.7,18,19.9
256,Searcy High School,12-Sep,Searcy School District,0.324,0.672,0.447,0.382,0.214,1208,0.4288,0.6738,0.1175,0.1084,0.1,0.33,2,311,262,0.84244373,19.5,21,20.7,20.5,0,WHITE,7311052,7311000,Arkansas,35.2519371,-91.7592664,301 North Ella,72143,White County,Searcy,5145,"301 North Ella, Searcy, Arkansas, 72143",70401,5145070401,2023,70401,White County,Arkansas,612,36,396,86,94,3620,32,248,1582,201,608,416,533,5.9,64.7,14.1,15.4,0.9,6.9,43.7,5.6,16.8,11.5,14.7,2052,71004,80078,5479,200,3.7,5279,96.3,5052,92.2,87,1.6,0,0,0,0,0,0,0,0,140,2.6,19.5,20.7
257,Sheridan High School,12-Sep,Sheridan School District,0.136,0.366,0.288,0.163,0.081,1265,0.3534,0.8648,0.0735,0.0198,0.04,0.14,3,329,295,0.896656535,17.3,16.1,18.4,18.4,0,GRANT,2705021,2705000,Arkansas,34.3112523,-92.4076598,800 West Vine Street,72150,Grant County,Sheridan,5053,"800 West Vine Street, Sheridan, Arkansas, 72150",470401,5053470401,2023,470401,Grant County,Arkansas,162,44,50,68,0,2742,66,136,1015,674,105,527,219,27.2,30.9,42,0,2.4,5,37,24.6,3.8,19.2,8,1533,61655,78054,3834,91,2.4,3743,97.6,3426,89.4,87,2.3,0,0,13,0.3,34,0.9,76,2,107,2.8,17.3,18.4
258,Shirley High School,12-Jul,Shirley School District,RV,0.25,0.083,RV,RV,134,0.806,0.9403,0.0075,0.0373,0.01,0.06,1,16,12,0.75,14.9,13.6,14,12.8,0,VAN BUREN,7104015,7104000,Arkansas,35.652848,-92.3221622,,N/A,Van Buren County,N/A,5141,,460100,5141460100,2023,460100,Van Buren County,Arkansas,234,27,126,31,50,2647,281,400,1113,465,109,184,95,11.5,53.8,13.2,21.4,10.6,15.1,42,17.6,4.1,7,3.6,1530,43250,58728,4022,6,0.1,4016,99.9,3999,99.4,7,0.2,0,0,0,0,0,0,0,0,10,0.2,14.9,14
259,Siloam Springs High School Conversion Charter,12-Sep,Siloam Springs School District,0.216,0.415,0.329,0.246,0.15,1449,0.4941,0.4941,0.3637,0.0104,0.13,0.51,1,373,301,0.806970509,18.1,17.3,18.6,19.2,0,BENTON,406703,406000,Arkansas,36.1909275,-94.5138466,700 North Progress Avenue,72761,Benton County,Siloam Springs,5007,"700 North Progress Avenue, Siloam Springs, Arkansas, 72761",21101,5007021101,2023,21101,Benton County,Arkansas,502,87,233,160,22,3515,367,262,1076,670,237,698,205,17.3,46.4,31.9,4.4,10.4,7.5,30.6,19.1,6.7,19.9,5.8,1837,69807,83024,5381,1548,28.8,3833,71.2,2517,46.8,0,0,309,5.7,242,4.5,57,1.1,0,0,708,13.2,18.1,18.6
260,Sloan-Hendrix High School,12-Jul,Sloan-Hendrix School District,0.154,0.538,0.333,0.256,0.051,353,0.6742,0.9575,0.017,0.0085,0.02,0.04,2,54,39,0.722222222,17.7,18.5,20.5,20.1,0,LAWRENCE,3806019,3806000,Arkansas,36.2014797,-91.1869122,2 Greyhound Circle,72434,Lawrence County,Imboden,5075,"2 Greyhound Circle, Imboden, Arkansas, 72434",470200,5075470200,2023,470200,Lawrence County,Arkansas,365,23,238,90,14,2801,76,282,1188,629,285,252,89,6.3,65.2,24.7,3.8,2.7,10.1,42.4,22.5,10.2,9,3.2,1559,48778,68718,4357,74,1.7,4283,98.3,4072,93.5,8,0.2,0,0,6,0.1,0,0,0,0,197,4.5,17.7,20.5
261,Smackover High School,12-Sep,Smackover-Norphlet School District,0.012,0.325,0.12,0.036,RV,314,0.3631,0.7516,0.0478,0.1879,0.01,0.25,4,85,83,0.976470588,14.9,14.9,16.4,16.3,0,UNION,7008045,7008000,Arkansas,33.3656761,-92.7313276,1 Buckaroo Lane,71762,Union County,Smackover,5139,"1 Buckaroo Lane, Smackover, Arkansas, 71762",950300,5139950300,2023,950300,Union County,Arkansas,222,0,14,129,79,1869,21,167,723,445,63,263,187,0,6.3,58.1,35.6,1.1,8.9,38.7,23.8,3.4,14.1,10,1080,58362,71197,2733,23,0.8,2710,99.2,1907,69.8,677,24.8,0,0,0,0,0,0,0,0,126,4.6,14.9,16.4
262,South Side High School,12-Jul,South Side School District (Van Buren),0.135,0.27,0.27,0.108,0.108,247,0.4696,0.9231,0.0324,0.0081,0.04,0.08,1,40,37,0.925,16.4,15.6,18.8,16.8,0,VAN BUREN,7105019,7105000,Arkansas,35.4286139,-92.3885454,334 Southside Road,72013,Van Buren County,Bee Branch,5141,"334 Southside Road, Bee Branch, Arkansas, 72013",460400,5141460400,2023,460400,Van Buren County,Arkansas,278,40,89,142,7,2779,78,222,1574,465,126,168,146,14.4,32,51.1,2.5,2.8,8,56.6,16.7,4.5,6,5.3,1599,54013,63932,3594,4,0.1,3590,99.9,3169,88.2,43,1.2,102,2.8,0,0,0,0,0,0,276,7.7,16.4,18.8
263,Southside Charter High School,12-Oct,Southside School District (Independence),0.194,0.442,0.248,0.202,0.062,444,0.5045,0.8761,0.0856,0.0135,0.02,0.12,2,168,129,0.767857143,18.4,18,18.2,19.1,0,INDEPENDENCE,3209703,3209000,Arkansas,35.7004824,-91.62609,70 Scott Drive,72501,Independence County,Batesville,5063,"70 Scott Drive, Batesville, Arkansas, 72501",490702,5063490702,2023,490702,Independence County,Arkansas,511,84,147,280,0,2065,73,205,811,486,162,276,52,16.4,28.8,54.8,0,3.5,9.9,39.3,23.5,7.8,13.4,2.5,1194,48347,78638,3563,234,6.6,3329,93.4,2941,82.5,0,0,0,0,0,0,214,6,0,0,174,4.9,18.4,18.2
264,Southside High School,12-Sep,Fort Smith School District,0.294,0.59,0.399,0.298,0.191,1970,0.4716,0.5497,0.2091,0.0589,0.18,0.45,1,471,429,0.910828025,18.8,19.7,19.8,19.8,0,SEBASTIAN,6601025,6601000,Arkansas,35.3487722,-94.3875396,4100 Gary Street,72903,Sebastian County,Fort Smith,5131,"4100 Gary Street, Fort Smith, Arkansas, 72903",1102,5131001102,2023,1102,Sebastian County,Arkansas,432,106,194,110,22,2249,78,69,549,702,216,398,237,24.5,44.9,25.5,5.1,3.5,3.1,24.4,31.2,9.6,17.7,10.5,1457,62339,79714,3493,485,13.9,3008,86.1,1918,54.9,622,17.8,21,0.6,89,2.5,0,0,0,0,358,10.2,18.8,19.8
265,Spring Hill High School,12-Jul,Spring Hill School District,0.057,0.358,0.189,0.113,0.038,286,0.5455,0.8671,0.0664,0.0035,0.06,0.13,4,54,53,0.981481481,16.4,16.8,17.4,16.8,0,HEMPSTEAD,2906026,2906000,Arkansas,33.5848428,-93.6512498,633 Arkansas 355,71801,Hempstead County,Hope,5057,"633 Arkansas 355, Hope, Arkansas, 71801",480400,5057480400,2023,480400,Hempstead County,Arkansas,240,55,79,75,31,2410,277,169,721,656,216,261,110,22.9,32.9,31.3,12.9,11.5,7,29.9,27.2,9,10.8,4.6,1352,61111,68291,3562,671,18.8,2891,81.2,2550,71.6,125,3.5,22,0.6,57,1.6,0,0,19,0.5,118,3.3,16.4,17.4
266,Springdale High School,12-Oct,Springdale School District,0.169,0.366,0.253,0.181,0.119,2195,0.8501,0.1513,0.5827,0.0255,0.24,0.85,1,800,320,0.4,17.3,16.3,17.2,17.8,0,WASHINGTON,7207049,7207000,Arkansas,36.1850807,-94.1421577,101 South Pleasant Street,72764,Washington County,Springdale,5143,"101 South Pleasant Street, Springdale, Arkansas, 72764",10402,5143010402,2023,10402,Washington County,Arkansas,776,100,308,352,16,3223,606,328,913,751,99,438,88,12.9,39.7,45.4,2.1,18.8,10.2,28.3,23.3,3.1,13.6,2.7,1681,63537,72875,5652,2266,40.1,3386,59.9,2159,38.2,0,0,67,1.2,0,0,511,9,164,2.9,485,8.6,17.3,17.2
267,St. Paul High School,12-Jul,Huntsville School District,0.182,0.364,0.273,0.182,0.091,107,0.7477,0.8411,0.0561,0.0093,0.09,0.16,1,12,11,0.916666667,16.9,16.3,17.5,18.7,0,MADISON,4401012,4401000,Arkansas,35.8233988,-93.7658859,232 4th Street,72760,Madison County,Saint Paul,5087,"232 4th Street, Saint Paul, Arkansas, 72760",960400,5087960400,2023,960400,Madison County,Arkansas,44,2,40,2,0,2536,124,233,1355,458,44,177,145,4.5,90.9,4.5,0,4.9,9.2,53.4,18.1,1.7,7,5.7,1289,58854,68033,3157,29,0.9,3128,99.1,2493,79,0,0,7,0.2,14,0.4,40,1.3,18,0.6,556,17.6,16.9,17.5
268,Star City High School,12-Sep,Star City School District,0.095,0.221,0.211,0.147,0.053,416,0.738,0.6731,0.101,0.1731,0.05,0.33,5,99,95,0.95959596,16,14.5,17.1,17.2,0,LINCOLN,4003016,4003000,Arkansas,33.942278,-91.8400634,400 East Arkansas Street,71667,Lincoln County,Star City,5079,"400 East Arkansas Street, Star City, Arkansas, 71667",960500,5079960500,2023,960500,Lincoln County,Arkansas,165,17,69,28,51,1498,95,101,637,367,82,164,52,10.3,41.8,17,30.9,6.3,6.7,42.5,24.5,5.5,10.9,3.5,793,53818,67771,2219,90,4.1,2129,95.9,1617,72.9,431,19.4,10,0.5,0,0,0,0,0,0,71,3.2,16,17.1
269,Strong-Huttig Schools,K-12,Strong-Huttig School District,RV,0.1,0.033,0.033,RV,309,0.9353,0.1812,0.0097,0.7929,0.02,0.82,4,31,30,0.967741935,14.2,12.3,13.3,14,0,UNION,7009050,7009000,Arkansas,33.1019992,-92.341887,,N/A,Union County,N/A,5139,,950100,5139950100,2023,950100,Union County,Arkansas,71,5,60,6,0,2174,31,179,1035,602,89,156,82,7,84.5,8.5,0,1.4,8.2,47.6,27.7,4.1,7.2,3.8,1398,36110,65928,2853,54,1.9,2799,98.1,1353,47.4,1408,49.4,0,0,4,0.1,0,0,7,0.2,27,0.9,14.2,13.3
270,Stuttgart High School,12-Sep,Stuttgart School District,0.11,0.28,0.19,0.15,0.1,501,0.3952,0.4631,0.0958,0.4092,0.03,0.54,5,106,100,0.943396226,16.7,15.2,17.1,17.1,0,ARKANSAS,104025,104000,Arkansas,34.4787942,-91.5575788,401 West 22nd Street,72160,Arkansas County,Stuttgart,5001,"401 West 22nd Street, Stuttgart, Arkansas, 72160",480500,5001480500,2023,480500,Arkansas County,Arkansas,426,90,157,142,37,2494,91,172,1033,463,314,310,111,21.1,36.9,33.3,8.7,3.6,6.9,41.4,18.6,12.6,12.4,4.5,1399,71691,70233,3623,16,0.4,3607,99.6,2346,64.8,1247,34.4,0,0,0,0,0,0,0,0,14,0.4,16.7,17.1
271,Sylvan Hills High School,12-Oct,Pulaski County Special School District,0.166,0.502,0.3,0.209,0.123,1090,0.3954,0.3945,0.0817,0.4578,0.07,0.61,3,355,277,0.78028169,17.1,17.8,18.2,18.4,0,PULASKI,6003128,6003000,Arkansas,34.8502799,-92.2359143,484 Bear Paw Road,72120,Pulaski County,Sherwood,5119,"484 Bear Paw Road, Sherwood, Arkansas, 72120",3713,5119003713,2023,3713,Pulaski County,Arkansas,506,50,228,165,63,2999,116,54,746,730,233,694,426,9.9,45.1,32.6,12.5,3.9,1.8,24.9,24.3,7.8,23.1,14.2,1925,97079,106329,4211,236,5.6,3975,94.4,2332,55.4,1277,30.3,0,0,51,1.2,0,0,0,0,315,7.5,17.1,18.2
272,Taylor High School,12-Jul,Emerson-Taylor-Bradley School District,0.024,0.381,0.262,0.238,0.024,259,0.2741,0.9382,0.0347,0.0039,0.02,0.06,4,47,42,0.893617021,16.5,16.7,19,19.1,0,COLUMBIA,1408019,1408000,Arkansas,33.0990733,-93.4561398,506 East Pine Street,71861,Columbia County,Taylor,5027,"506 East Pine Street, Taylor, Arkansas, 71861",950302,5027950302,2023,950302,Columbia County,Arkansas,462,30,75,357,0,2277,23,91,1157,429,219,205,153,6.5,16.2,77.3,0,1,4,50.8,18.8,9.6,9,6.7,1417,46393,62196,3336,10,0.3,3326,99.7,2722,81.6,595,17.8,0,0,0,0,0,0,0,0,9,0.3,16.5,19
273,The Academies At Jonesboro High School,12-Oct,Jonesboro School District,0.119,0.376,0.274,0.194,0.092,1435,0.6585,0.3484,0.1638,0.4334,0.05,0.65,2,482,402,0.834024896,16.5,16.1,17.6,18.1,0,CRAIGHEAD,1608027,1608000,Arkansas,35.8247342,-90.7066673,South Main Street,72401,Craighead County,Jonesboro,5031,"South Main Street, Jonesboro, Arkansas, 72401",300,5031000300,2023,300,Craighead County,Arkansas,671,109,83,405,74,4863,58,114,1250,1241,412,932,856,16.2,12.4,60.4,11,1.2,2.3,25.7,25.5,8.5,19.2,17.6,2789,58693,85792,6917,702,10.1,6215,89.9,4802,69.4,1028,14.9,10,0.1,151,2.2,0,0,0,0,224,3.2,16.5,17.6
274,The Academies Of West Memphis Charter School,12-Oct,West Memphis School District,0.058,0.288,0.163,0.048,0.029,944,0.7203,0.1631,0.0244,0.7998,0.01,0.84,2,319,208,0.652037618,15.6,15.3,16.2,16.3,0,CRITTENDEN,1803703,1803000,Arkansas,35.1476676,-90.1991158,500W West Broadway,72301,Crittenden County,West Memphis,5035,"500W West Broadway, West Memphis, Arkansas, 72301",30301,5035030301,2023,30301,Crittenden County,Arkansas,317,64,201,43,9,1729,81,169,729,352,153,216,29,20.2,63.4,13.6,2.8,4.7,9.8,42.2,20.4,8.8,12.5,1.7,1021,40717,58822,2743,66,2.4,2677,97.6,584,21.3,2035,74.2,10,0.4,0,0,0,0,0,0,48,1.7,15.6,16.2
275,Timbo High School,12-Jul,Mountain View School District,RV,0.353,0.176,0.118,RV,103,0.8738,0.932,0.0388,0.0097,0.02,0.07,2,18,17,0.944444444,16.4,15.8,17.9,18.8,0,STONE,6901016,6901000,Arkansas,35.8743453,-92.3177396,23747 Arkansas 263,72680,Stone County,Timbo,5137,"23747 Arkansas 263, Timbo, Arkansas, 72680",950100,5137950100,2023,950100,Stone County,Arkansas,310,55,167,56,32,3289,170,467,1144,731,342,297,138,17.7,53.9,18.1,10.3,5.2,14.2,34.8,22.2,10.4,9,4.2,1708,44040,56804,4741,4,0.1,4737,99.9,4309,90.9,0,0,30,0.6,8,0.2,0,0,0,0,390,8.2,16.4,17.9
276,Trumann High School,12-Sep,Trumann School District,0.102,0.276,0.133,0.112,0.071,453,0.6976,0.7439,0.0706,0.1479,0.04,0.26,2,100,98,0.98,15.9,14.8,16.6,17.3,0,POINSETT,5605023,5605000,Arkansas,35.6725246,-90.5323769,1620 West Main Street,72472,Poinsett County,Trumann,5111,"1620 West Main Street, Trumann, Arkansas, 72472",490400,5111490400,2023,490400,Poinsett County,Arkansas,381,0,166,147,68,2977,357,149,1120,719,142,320,170,0,43.6,38.6,17.8,12,5,37.6,24.2,4.8,10.7,5.7,1724,58255,65237,4520,72,1.6,4448,98.4,3927,86.9,254,5.6,0,0,0,0,0,0,7,0.2,260,5.8,15.9,16.6
277,Tuckerman High School,12-Aug,Jackson Co. School District,0.14,0.465,0.372,0.233,0.116,306,0.6503,0.8497,0.0327,0.0621,0.06,0.15,2,48,43,0.895833333,17.1,19.1,19.1,17.5,0,JACKSON,3405025,3405000,Arkansas,35.7363403,-91.2003036,300 Dowell Street,72473,Jackson County,Tuckerman,5067,"300 Dowell Street, Tuckerman, Arkansas, 72473",480100,5067480100,2023,480100,Jackson County,Arkansas,224,50,102,62,10,2052,49,230,781,436,128,326,102,22.3,45.5,27.7,4.5,2.4,11.2,38.1,21.2,6.2,15.9,5,1189,38839,60760,2946,29,1,2917,99,2782,94.4,45,1.5,2,0.1,0,0,0,0,0,0,88,3,17.1,19.1
278,Two Rivers High School,12-May,Two Rivers School District,0.065,0.413,0.304,0.239,0.022,435,0.7816,0.7448,0.1747,0.0023,0.08,0.26,1,61,46,0.754098361,16.2,16.7,18.2,18.8,0,YELL,7510019,7510000,Arkansas,35.0108998,-93.272946,17727 Arkansas 28,72853,Yell County,Ola,5149,"17727 Arkansas 28, Ola, Arkansas, 72853",952600,5149952600,2023,952600,Yell County,Arkansas,137,5,48,84,0,1834,87,284,955,259,85,126,38,3.6,35,61.3,0,4.7,15.5,52.1,14.1,4.6,6.9,2.1,1110,53013,65930,2448,176,7.2,2272,92.8,2216,90.5,4,0.2,0,0,2,0.1,0,0,0,0,50,2,16.2,18.2
279,Umpire K-12 School,K-12,Cossatot River School District,N<10,N<10,N<10,N<10,N<10,92,0.7717,0.6957,0.2826,0,0.02,0.3,4,5,N<10,N<10,N<10,N<10,N<10,N<10,0,POLK,5707024,5707000,Arkansas,34.2775266,-94.0526464,142 School Street,71971,Howard County,Umpire,5061,"142 School Street, Umpire, Arkansas, 71971",950100,5061950100,2023,950100,Howard County,Arkansas,367,67,235,49,16,2688,92,263,1073,481,177,403,199,18.3,64,13.4,4.4,3.4,9.8,39.9,17.9,6.6,15,7.4,1769,32852,60469,3951,6,0.2,3945,99.8,3696,93.5,90,2.3,9,0.2,0,0,0,0,0,0,150,3.8,,
280,Valley Springs High School,12-Sep,Valley Springs School District,0.217,0.6,0.283,0.25,0.133,264,0.4205,0.9621,0.0265,0,0.01,0.04,1,61,60,0.983606557,17.7,18.9,18.8,19.5,0,BOONE,505027,505000,Arkansas,36.1595918,-93.0375914,,N/A,Boone County,N/A,5009,,790300,5009790300,2023,790300,Boone County,Arkansas,475,57,232,162,24,3580,107,227,1152,1085,581,241,187,12,48.8,34.1,5.1,3,6.3,32.2,30.3,16.2,6.7,5.2,2052,63837,72450,5667,80,1.4,5587,98.6,5397,95.2,14,0.2,18,0.3,0,0,0,0,17,0.3,141,2.5,17.7,18.8
281,Valley View High School,12-Oct,Valley View School District,0.322,0.704,0.528,0.457,0.246,673,0.1976,0.841,0.0505,0.0431,0.07,0.16,2,214,199,0.929906542,19.7,21.1,22,21.5,0,CRAIGHEAD,1612048,1612000,Arkansas,35.7692185,-90.7391739,2116 Yarbrough Drive,72404,Craighead County,Jonesboro,5031,"2116 Yarbrough Drive, Jonesboro, Arkansas, 72404",806,5031000806,2023,806,Craighead County,Arkansas,458,87,116,155,100,2721,16,91,509,414,317,973,401,19,25.3,33.8,21.8,0.6,3.3,18.7,15.2,11.7,35.8,14.7,1499,121635,179229,4262,198,4.6,4064,95.4,3826,89.8,221,5.2,0,0,0,0,0,0,17,0.4,0,0,19.7,22
282,Van Buren High School,12-Oct,Van Buren School District,0.238,0.503,0.312,0.257,0.157,1228,0.5049,0.6311,0.2272,0.0228,0.12,0.37,1,395,362,0.916455696,18.1,17.7,18.2,19,0,CRAWFORD,1705027,1705000,Arkansas,35.459183,-94.3371879,Pointer Trail,72956,Crawford County,Van Buren,5033,"Pointer Trail, Van Buren, Arkansas, 72956",20301,5033020301,2023,20301,Crawford County,Arkansas,291,8,61,131,91,2856,144,96,1078,769,211,277,281,2.7,21,45,31.3,5,3.4,37.7,26.9,7.4,9.7,9.8,1601,68187,74963,4185,407,9.7,3778,90.3,3372,80.6,67,1.6,29,0.7,128,3.1,0,0,7,0.2,175,4.2,18.1,18.2
283,Vilonia High School,12-Sep,Vilonia School District,0.294,0.548,0.386,0.36,0.228,840,0.3571,0.9179,0.056,0.0155,0.01,0.08,3,214,197,0.920560748,18.7,19.2,19.5,20.2,0,FAULKNER,2307034,2307000,Arkansas,35.08546,-92.1944196,1164 Main Street,72173,Faulkner County,Vilonia,5045,"1164 Main Street, Vilonia, Arkansas, 72173",30302,5045030302,2023,30302,Faulkner County,Arkansas,441,0,80,294,67,4522,61,149,1320,1229,605,683,475,0,18.1,66.7,15.2,1.3,3.3,29.2,27.2,13.4,15.1,10.5,2368,80776,97013,6604,60,0.9,6544,99.1,6389,96.7,1,0,20,0.3,0,0,0,0,53,0.8,81,1.2,18.7,19.5
284,Vilonia Pathways Academy,K-12,Vilonia School District,0.077,0.308,0.103,0.128,0.026,173,0.4104,0.8902,0.0694,0.0116,0.03,0.11,3,56,39,0.696428571,15.9,15.3,16,17.8,0,FAULKNER,2307703,2307000,Arkansas,35.0835262,-92.1981928,11 Eagle Street,72173,Faulkner County,Vilonia,5045,"11 Eagle Street, Vilonia, Arkansas, 72173",30302,5045030302,2023,30302,Faulkner County,Arkansas,441,0,80,294,67,4522,61,149,1320,1229,605,683,475,0,18.1,66.7,15.2,1.3,3.3,29.2,27.2,13.4,15.1,10.5,2368,80776,97013,6604,60,0.9,6544,99.1,6389,96.7,1,0,20,0.3,0,0,0,0,53,0.8,81,1.2,15.9,16
285,Viola High School,12-Jul,Viola School District,0.182,0.545,0.273,0.227,0.136,182,0.6868,0.9505,0.0165,0.0055,0.03,0.05,2,31,22,0.709677419,18.4,17,19.4,19.2,0,FULTON,2503010,2503000,Arkansas,36.3959776,-91.9864296,314 Longhorn Drive,72583,Fulton County,Viola,5049,"314 Longhorn Drive, Viola, Arkansas, 72583",550202,5049550202,2023,550202,Fulton County,Arkansas,331,0,298,10,23,2145,97,198,925,398,225,118,184,0,90,3,6.9,4.5,9.2,43.1,18.6,10.5,5.5,8.6,1204,43734,57980,3285,1,0,3284,100,3137,95.5,0,0,0,0,0,0,0,0,0,0,147,4.5,18.4,19.4
286,Waldron High School,12-Sep,Waldron School District,0.097,0.435,0.177,0.113,0.032,399,0.6767,0.7544,0.1629,0.0125,0.07,0.25,1,88,62,0.704545455,16.6,17.1,18,18,0,SCOTT,6401003,6401000,Arkansas,34.9002949,-94.11506,736 Arkansas 80,72958,Scott County,Waldron,5127,"736 Arkansas 80, Waldron, Arkansas, 72958",950200,5127950200,2023,950200,Scott County,Arkansas,415,69,208,72,66,2568,202,284,1110,522,211,221,18,16.6,50.1,17.3,15.9,7.9,11.1,43.2,20.3,8.2,8.6,0.7,1493,41801,49217,3899,730,18.7,3169,81.3,2980,76.4,0,0,0,0,0,0,5,0.1,0,0,184,4.7,16.6,18
287,Walnut Ridge High School,12-Jul,Lawrence County School District,0.055,0.509,0.291,0.236,0.036,463,0.4752,0.8618,0.0518,0.0043,0.08,0.14,2,68,55,0.808823529,16.4,17.8,19.1,18.6,0,LAWRENCE,3810027,3810000,Arkansas,36.0623854,-90.9572707,508 East Free Street,72476,Lawrence County,Walnut Ridge,5075,"508 East Free Street, Walnut Ridge, Arkansas, 72476",470502,5075470502,2023,470502,Lawrence County,Arkansas,366,15,248,41,62,3127,173,369,824,936,213,354,258,4.1,67.8,11.2,16.9,5.5,11.8,26.4,29.9,6.8,11.3,8.3,1876,44928,65858,4502,67,1.5,4435,98.5,4183,92.9,72,1.6,0,0,8,0.2,0,0,0,0,172,3.8,16.4,19.1
288,Warren High School,12-Sep,Warren School District,0.023,0.207,0.092,0.046,0.011,480,0.6958,0.3479,0.2625,0.3542,0.04,0.65,5,108,87,0.805555556,15.5,13.9,15.7,16.5,0,BRADLEY,602019,602000,Arkansas,33.625611,-92.0661035,800 North Walnut Street,71671,Bradley County,Warren,5011,"800 North Walnut Street, Warren, Arkansas, 71671",950100,5011950100,2023,950100,Bradley County,Arkansas,214,8,83,52,71,1938,45,141,1033,336,106,138,139,3.7,38.8,24.3,33.2,2.3,7.3,53.3,17.3,5.5,7.1,7.2,957,41094,64310,2881,499,17.3,2382,82.7,1626,56.4,744,25.8,0,0,0,0,1,0,0,0,11,0.4,15.5,15.7
289,Watson Chapel High School,12-Sep,Watson Chapel School District,0.02,0.17,0.098,0.039,0.007,639,0.6495,0.072,0.0266,0.8717,0.03,0.93,3,163,153,0.938650307,14.4,13.2,14.7,15.8,0,JEFFERSON,3509067,3509000,Arkansas,34.1887184,-92.0672938,4000 South Camden Road,71603,Jefferson County,Pine Bluff,5069,"4000 South Camden Road, Pine Bluff, Arkansas, 71603",1501,5069001501,2023,1501,Jefferson County,Arkansas,195,54,73,68,0,2345,15,74,601,736,137,605,177,27.7,37.4,34.9,0,0.6,3.2,25.6,31.4,5.8,25.8,7.5,1368,46810,59575,3442,0,0,3442,100,220,6.4,3088,89.7,1,0,35,1,0,0,0,0,98,2.8,14.4,14.7
