School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Schaumburg High School,Township HSD 211,516.3,545.2,532,532,Illinois,42.0273099,-88.1067061,1100 West Schaumburg Road,60194,Cook County,Schaumburg,17031,"1100 West Schaumburg Road, Schaumburg, Illinois, 60194",804710,17031804710,2019,804710,Cook County,Illinois,103,5,31,47,20,2839,19,49,708,698,296,745,324,4.9,30.1,45.6,19.4,0.7,1.7,24.9,24.6,10.4,26.2,11.4,1451,87311,103554,3620,306,8.5,3314,91.5,2463,68,139,3.8,0,0,621,17.2,0,0,0,0,91,2.5
Blue Ridge High School,Blue Ridge CUSD 18,495.8,473.2,50,50,Illinois,40.2475142,-88.646897,411 North John Street,61842,De Witt County,Farmer City,17039,"411 North John Street, Farmer City, Illinois, 61842",971400,17039971400,2019,971400,De Witt County,Illinois,97,28,30,39,0,1769,11,81,612,530,183,187,165,28.9,30.9,40.2,0,0.6,4.6,34.6,30,10.3,10.6,9.3,983,64716,64764,2364,37,1.6,2327,98.4,2321,98.2,1,0,0,0,0,0,0,0,0,0,5,0.2
Mulberry Grove Sr High School,Mulberry Grove CUSD 1,460.4,460.8,25,25,Illinois,38.924212,-89.2775275,801 West Wall Street,62262,Bond County,Mulberry Grove,17005,"801 West Wall Street, Mulberry Grove, Illinois, 62262",951200,17005951200,2019,951200,Bond County,Illinois,164,29,41,85,9,2303,47,122,846,477,356,369,86,17.7,25,51.8,5.5,2,5.3,36.7,20.7,15.5,16,3.7,1337,61685,73984,3026,131,4.3,2895,95.7,2777,91.8,94,3.1,6,0.2,0,0,0,0,0,0,18,0.6
Princeton High School,Princeton HSD 500,501.4,493.1,129,129,Illinois,41.3742558,-89.4594459,103 South Euclid Avenue,61356,Bureau County,Princeton,17011,"103 South Euclid Avenue, Princeton, Illinois, 61356",965300,17011965300,2019,965300,Bureau County,Illinois,217,24,89,89,15,2320,2,125,825,542,324,335,167,11.1,41,41,6.9,0.1,5.4,35.6,23.4,14,14.4,7.2,1328,53333,66338,3320,67,2,3253,98,3226,97.2,0,0,11,0.3,0,0,0,0,0,0,16,0.5
Marshall High School,Marshall CUSD 2C,506.3,492.6,95,95,Illinois,39.3969783,-87.7001647,806 North 6th Street,62441,Clark County,Marshall,17023,"806 North 6th Street, Marshall, Illinois, 62441",60200,17023060200,2019,60200,Clark County,Illinois,312,96,119,97,0,2792,67,69,1200,433,355,429,239,30.8,38.1,31.1,0,2.4,2.5,43,15.5,12.7,15.4,8.6,1737,52604,68920,3903,76,1.9,3827,98.1,3719,95.3,8,0.2,0,0,1,0,0,0,0,0,99,2.5
Southland College Prep Charter High School,Southland College Prep Charter High School,506.8,490.6,139,139,Illinois,41.483955,-87.7286089,4601 Sauk Trail,60471,Cook County,Richton Park,17031,"4601 Sauk Trail, Richton Park, Illinois, 60471",830007,17031830007,2019,830007,Cook County,Illinois,446,23,182,224,17,2991,71,43,781,972,396,388,340,5.2,40.8,50.2,3.8,2.4,1.4,26.1,32.5,13.2,13,11.4,1932,51438,57279,4973,254,5.1,4719,94.9,453,9.1,4255,85.6,0,0,0,0,0,0,0,0,11,0.2
Monticello High School,Monticello CUSD 25,521.5,512.8,108,108,Illinois,40.0194996,-88.5718903,1 Sage Drive,61856,Piatt County,Monticello,17147,"1 Sage Drive, Monticello, Illinois, 61856",954600,17147954600,2019,954600,Piatt County,Illinois,367,4,152,126,85,4411,80,176,1204,604,640,1187,520,1.1,41.4,34.3,23.2,1.8,4,27.3,13.7,14.5,26.9,11.8,2640,77667,80819,6266,118,1.9,6148,98.1,5891,94,99,1.6,2,0,92,1.5,0,0,36,0.6,28,0.4
Salem Community High School,Salem CHSD 600,484.1,472.9,147,147,Illinois,38.6375082,-88.9429682,1200 North Broadway,62881,Marion County,Salem,17121,"1200 North Broadway, Salem, Illinois, 62881",952000,17121952000,2019,952000,Marion County,Illinois,215,20,81,107,7,3064,90,112,1169,619,569,233,272,9.3,37.7,49.8,3.3,2.9,3.7,38.2,20.2,18.6,7.6,8.9,1844,53258,71173,4353,7,0.2,4346,99.8,4150,95.3,71,1.6,0,0,10,0.2,0,0,0,0,115,2.6
Reavis High School,Reavis Twp HSD 220,474.7,477.6,434,434,Illinois,41.7534406,-87.771345,6034 West 77th Street,60459,Cook County,Burbank,17031,"6034 West 77th Street, Burbank, Illinois, 60459",820901,17031820901,2019,820901,Cook County,Illinois,421,81,124,216,0,3299,438,232,1332,557,383,237,120,19.2,29.5,51.3,0,13.3,7,40.4,16.9,11.6,7.2,3.6,1810,60500,75434,4986,2136,42.8,2850,57.2,2549,51.1,72,1.4,87,1.7,98,2,0,0,0,0,44,0.9
Crystal Lake South High School,CHSD 155,528.3,534.4,325,325,Illinois,42.2105838,-88.338875,McHenry Avenue,60014,McHenry County,Crystal Lake,17111,"McHenry Avenue, Crystal Lake, Illinois, 60014",871201,17111871201,2019,871201,McHenry County,Illinois,357,0,127,209,21,4819,39,150,1222,1572,322,938,576,0,35.6,58.5,5.9,0.8,3.1,25.4,32.6,6.7,19.5,12,2620,92609,97067,7369,707,9.6,6662,90.4,6245,84.7,17,0.2,6,0.1,14,0.2,0,0,0,0,380,5.2
Thornton Township High School,Thornton Twp HSD 205,427.5,419.7,437,437,Illinois,41.5969681,-87.6383797,,N/A,Cook County,N/A,17031,,827500,17031827500,2019,827500,Cook County,Illinois,778,0,618,126,34,2902,346,486,1018,755,128,155,14,0,79.4,16.2,4.4,11.9,16.7,35.1,26,4.4,5.3,0.5,1694,47407,59415,5163,2460,47.6,2703,52.4,414,8,2233,43.3,0,0,13,0.3,0,0,0,0,43,0.8
West Central High School,West Central CUSD 235,465,440.4,52,52,Illinois,40.8493404,-90.9007164,1514 U.S. 34,61418,Henderson County,Biggsville,17071,"1514 U.S. 34, Biggsville, Illinois, 61418",973400,17071973400,2019,973400,Henderson County,Illinois,86,7,40,21,18,1451,16,138,532,350,135,218,62,8.1,46.5,24.4,20.9,1.1,9.5,36.7,24.1,9.3,15,4.3,884,70208,89853,1784,38,2.1,1746,97.9,1741,97.6,0,0,0,0,0,0,0,0,0,0,5,0.3
Lisle High School,Lisle CUSD 202,537.7,554,105,105,Illinois,41.7931026,-88.0836437,1800 Short Street,60532,DuPage County,Lisle,17043,"1800 Short Street, Lisle, Illinois, 60532",846004,17043846004,2019,846004,DuPage County,Illinois,249,26,26,140,57,2847,23,66,632,513,299,885,429,10.4,10.4,56.2,22.9,0.8,2.3,22.2,18,10.5,31.1,15.1,1658,80326,92212,3608,129,3.6,3479,96.4,3033,84.1,167,4.6,0,0,219,6.1,0,0,0,0,60,1.7
Urban Prep Chtr Acad Bronzeville HS,City of Chicago SD 299,426.1,413.7,62,62,Illinois,41.8440706,-87.6288359,2710 South Dearborn Street,60616,Cook County,Chicago,17031,"2710 South Dearborn Street, Chicago, Illinois, 60616",350400,17031350400,2019,350400,Cook County,Illinois,243,91,115,37,0,1010,91,203,255,273,73,66,49,37.4,47.3,15.2,0,9,20.1,25.2,27,7.2,6.5,4.9,668,19318,29194,2018,0,0,2018,100,9,0.4,2009,99.6,0,0,0,0,0,0,0,0,0,0
Rich East Campus High School,Rich Twp HSD 227,444.5,430.5,184,184,Illinois,41.4814976,-87.6928876,300 Sauk Trail,60466,Cook County,Park Forest,17031,"300 Sauk Trail, Park Forest, Illinois, 60466",830300,17031830300,2019,830300,Cook County,Illinois,304,63,113,72,56,3208,29,94,717,803,534,644,387,20.7,37.2,23.7,18.4,0.9,2.9,22.4,25,16.6,20.1,12.1,2137,48491,49593,4536,57,1.3,4479,98.7,1033,22.8,3391,74.8,0,0,53,1.2,0,0,0,0,2,0
YCCS-Sullivan House Alt HS,City of Chicago SD 299,380,369.7,95,95,Illinois,41.8003514,-87.7271397,5101 South Keeler Avenue,60632,Cook County,Chicago,17031,"5101 South Keeler Avenue, Chicago, Illinois, 60632",570500,17031570500,2019,570500,Cook County,Illinois,354,68,146,105,35,1623,263,198,661,273,87,101,40,19.2,41.2,29.7,9.9,16.2,12.2,40.7,16.8,5.4,6.2,2.5,739,43380,60463,2497,1971,78.9,526,21.1,469,18.8,0,0,0,0,57,2.3,0,0,0,0,0,0
St Anne Comm High School,St Anne CHSD 302,467,439.8,57,57,Illinois,41.0543785,-87.5791287,,N/A,Kankakee County,N/A,17091,,11000,17091011000,2019,11000,Kankakee County,Illinois,91,51,27,13,0,1166,100,243,316,269,89,94,55,56,29.7,14.3,0,8.6,20.8,27.1,23.1,7.6,8.1,4.7,679,33342,41534,1529,98,6.4,1431,93.6,229,15,1175,76.8,0,0,4,0.3,0,0,11,0.7,12,0.8
Noble St Chtr Rauner College Prep,City of Chicago SD 299,493.6,513.9,140,140,Illinois,41.8922624,-87.661187,1337 West Ohio Street,60642,Cook County,Chicago,17031,"1337 West Ohio Street, Chicago, Illinois, 60642",243400,17031243400,2019,243400,Cook County,Illinois,111,24,22,16,49,2383,100,110,240,184,117,907,725,21.6,19.8,14.4,44.1,4.2,4.6,10.1,7.7,4.9,38.1,30.4,1321,88625,107931,2982,904,30.3,2078,69.7,1519,50.9,168,5.6,0,0,205,6.9,0,0,0,0,186,6.2
East Peoria High School,East Peoria CHSD 309,464.3,471.4,222,222,Illinois,40.670677,-89.557874,1401 East Washington Street,61611,Tazewell County,East Peoria,17179,"1401 East Washington Street, East Peoria, Illinois, 61611",20100,17179020100,2019,20100,Tazewell County,Illinois,226,0,52,160,14,1870,34,143,524,539,108,341,181,0,23,70.8,6.2,1.8,7.6,28,28.8,5.8,18.2,9.7,1204,65122,74486,2583,107,4.1,2476,95.9,2336,90.4,77,3,0,0,1,0,0,0,14,0.5,48,1.9
McHenry  East High School,McHenry CHSD 156,487.1,485.5,176,176,Illinois,42.3421965,-88.2666488,1012 North Green Street,60050,McHenry County,McHenry,17111,"1012 North Green Street, McHenry, Illinois, 60050",870606,17111870606,2019,870606,McHenry County,Illinois,283,15,60,197,11,2771,20,118,1138,713,125,514,143,5.3,21.2,69.6,3.9,0.7,4.3,41.1,25.7,4.5,18.5,5.2,1575,65755,84245,3789,871,23,2918,77,2703,71.3,55,1.5,0,0,160,4.2,0,0,0,0,0,0
Lakes Community High School,CHSD 117,535.4,538.2,325,325,Illinois,42.4436802,-88.0597406,1600 Eagle Way,60046,Lake County,Lake Villa,17097,"1600 Eagle Way, Lake Villa, Illinois, 60046",861007,17097861007,2019,861007,Lake County,Illinois,380,9,37,247,87,2437,0,71,480,390,266,708,522,2.4,9.7,65,22.9,0,2.9,19.7,16,10.9,29.1,21.4,1285,123405,140067,3881,294,7.6,3587,92.4,3060,78.8,120,3.1,0,0,269,6.9,0,0,0,0,138,3.6
Marshall Metropolitan High School,City of Chicago SD 299,392.6,372.1,78,78,Illinois,41.8790699,-87.706562,3250 West Adams Street,60624,Cook County,Chicago,17031,"3250 West Adams Street, Chicago, Illinois, 60624",271300,17031271300,2019,271300,Cook County,Illinois,164,29,60,75,0,558,48,63,191,140,36,54,26,17.7,36.6,45.7,0,8.6,11.3,34.2,25.1,6.5,9.7,4.7,368,24091,38068,1122,20,1.8,1102,98.2,0,0,1027,91.5,0,0,14,1.2,0,0,0,0,61,5.4
Calhoun High School,Calhoun CUSD 40,517.5,518,20,20,Illinois,39.1771466,-90.6133099,102 Calhoun Drive,62047,Calhoun County,Hardin,17013,"102 Calhoun Drive, Hardin, Illinois, 62047",951200,17013951200,2019,951200,Calhoun County,Illinois,169,8,65,92,4,1752,66,80,712,416,277,116,85,4.7,38.5,54.4,2.4,3.8,4.6,40.6,23.7,15.8,6.6,4.9,832,63200,69091,2500,59,2.4,2441,97.6,2325,93,29,1.2,15,0.6,52,2.1,0,0,0,0,20,0.8
Stillman Valley High School,Meridian CUSD 223,516.2,493.9,133,133,Illinois,42.1015935,-89.1773544,425 South Pine Street,61084,Ogle County,Stillman Valley,17141,"425 South Pine Street, Stillman Valley, Illinois, 61084",961002,17141961002,2019,961002,Ogle County,Illinois,301,29,115,139,18,2138,71,96,607,530,361,319,154,9.6,38.2,46.2,6,3.3,4.5,28.4,24.8,16.9,14.9,7.2,1199,72205,86336,3660,393,10.7,3267,89.3,3243,88.6,4,0.1,0,0,5,0.1,0,0,0,0,15,0.4
Lovejoy Technology Academy,Brooklyn UD 188,356,372,,,Illinois,38.6586617,-90.1659431,,N/A,St. Clair County,Brooklyn,17163,,504502,17163504502,2019,504502,St. Clair County,Illinois,141,54,87,0,0,871,143,65,268,244,121,9,21,38.3,61.7,0,0,16.4,7.5,30.8,28,13.9,1,2.4,468,17391,25474,1242,5,0.4,1237,99.6,30,2.4,1196,96.3,0,0,0,0,0,0,0,0,11,0.9
St Joseph-Ogden High School,St Joseph Ogden CHSD 305,538.5,567.5,110,110,Illinois,40.1144598,-88.0425008,301 North Main Street,61873,Champaign County,Saint Joseph,17019,"301 North Main Street, Saint Joseph, Illinois, 61873",10701,17019010701,2019,10701,Champaign County,Illinois,227,50,69,89,19,2668,0,18,750,574,316,616,394,22,30.4,39.2,8.4,0,0.7,28.1,21.5,11.8,23.1,14.8,1462,94052,95465,4101,41,1,4060,99,3979,97,1,0,0,0,80,2,0,0,0,0,0,0
Cobden High School,Cobden SUD 17,498,498.9,56,56,Illinois,37.5384523,-89.2567541,,62920,Union County,Cobden,17181,,950100,17181950100,2019,950100,Union County,Illinois,435,57,196,149,33,3400,160,172,1193,698,301,600,276,13.1,45.1,34.3,7.6,4.7,5.1,35.1,20.5,8.9,17.6,8.1,1914,60000,79163,4486,408,9.1,4078,90.9,3955,88.2,7,0.2,2,0,0,0,0,0,53,1.2,61,1.4
Belleville High School-West,Belleville Twp HSD 201,477.8,472.3,529,529,Illinois,38.518976,-90.03791,4063 Frank Scott Parkway West,62223,St. Clair County,Belleville,17163,"4063 Frank Scott Parkway West, Belleville, Illinois, 62223",503202,17163503202,2019,503202,St. Clair County,Illinois,242,24,108,110,0,4360,70,294,1349,888,600,564,595,9.9,44.6,45.5,0,1.6,6.7,30.9,20.4,13.8,12.9,13.6,2447,57659,72677,5766,139,2.4,5627,97.6,4551,78.9,855,14.8,0,0,41,0.7,0,0,0,0,180,3.1
Orion High School,Orion CUSD 223,515.3,530.3,80,80,Illinois,41.3535525,-90.3658752,1100 13th Street,61273,Henry County,Orion,17073,"1100 13th Street, Orion, Illinois, 61273",30201,17073030201,2019,30201,Henry County,Illinois,408,6,123,252,27,2982,21,59,899,746,384,569,304,1.5,30.1,61.8,6.6,0.7,2,30.1,25,12.9,19.1,10.2,1675,83625,105077,4418,117,2.6,4301,97.4,4182,94.7,0,0,5,0.1,22,0.5,0,0,20,0.5,72,1.6
DePue Elem School,DePue USD 103,580,530,,,Illinois,41.3242061,-89.3074244,,N/A,Bureau County,DePue,17011,,965000,17011965000,2019,965000,Bureau County,Illinois,282,14,124,140,4,2596,173,253,1039,492,253,255,131,5,44,49.6,1.4,6.7,9.7,40,19,9.7,9.8,5,1402,66190,79699,3814,1141,29.9,2673,70.1,2464,64.6,24,0.6,24,0.6,67,1.8,0,0,20,0.5,74,1.9
Coulterville High School,Coulterville USD 1,462.9,444.7,17,17,Illinois,38.1869351,-89.6066384,100 North Seventh Street,62237,Randolph County,Coulterville,17157,"100 North Seventh Street, Coulterville, Illinois, 62237",950500,17157950500,2019,950500,Randolph County,Illinois,103,6,63,31,3,1545,37,99,555,400,221,156,77,5.8,61.2,30.1,2.9,2.4,6.4,35.9,25.9,14.3,10.1,5,823,53304,66247,1945,10,0.5,1935,99.5,1823,93.7,45,2.3,2,0.1,41,2.1,0,0,0,0,24,1.2
Rochelle Twp High School,Rochelle Twp HSD 212,482.1,476.4,193,193,Illinois,41.9427732,-89.0777855,1401 East Flagg Road,61068,Ogle County,Rochelle,17141,"1401 East Flagg Road, Rochelle, Illinois, 61068",961200,17141961200,2019,961200,Ogle County,Illinois,779,42,361,353,23,4419,180,343,1509,1064,376,562,385,5.4,46.3,45.3,3,4.1,7.8,34.1,24.1,8.5,12.7,8.7,2588,65618,77868,6764,1454,21.5,5310,78.5,5045,74.6,23,0.3,81,1.2,31,0.5,0,0,0,0,130,1.9
Westville High School,Westville CUSD 2,445.5,423.5,77,77,Illinois,40.0519171,-87.6393747,918 North State Street,61883,Vermilion County,Westville,17183,"918 North State Street, Westville, Illinois, 61883",10600,17183010600,2019,10600,Vermilion County,Illinois,229,27,124,75,3,2655,97,123,1126,616,326,288,79,11.8,54.1,32.8,1.3,3.7,4.6,42.4,23.2,12.3,10.8,3,1597,46910,57640,4012,84,2.1,3928,97.9,3795,94.6,32,0.8,0,0,29,0.7,0,0,0,0,72,1.8
Bradley-Bourbonnais C High School,Bradley Bourbonnais CHSD 307,478.5,464.2,496,496,Illinois,41.1494971,-87.8686491,700 West North Street,60915,Kankakee County,Bradley,17091,"700 West North Street, Bradley, Illinois, 60915",11900,17091011900,2019,11900,Kankakee County,Illinois,125,7,44,67,7,953,7,61,507,295,22,49,12,5.6,35.2,53.6,5.6,0.7,6.4,53.2,31,2.3,5.1,1.3,616,41310,50953,1354,203,15,1151,85,1123,82.9,19,1.4,0,0,9,0.7,0,0,0,0,0,0
Bismarck Henning Rossville Alvin Cooperative High School,Bismarck Henning Rossville Alvin Cooperative High School,505.7,504.3,74,74,Illinois,40.3868478,-87.6383797,,N/A,Vermilion County,N/A,17183,,10100,17183010100,2019,10100,Vermilion County,Illinois,208,32,70,105,1,1965,33,139,669,494,259,287,84,15.4,33.7,50.5,0.5,1.7,7.1,34,25.1,13.2,14.6,4.3,1174,57500,79336,3105,267,8.6,2838,91.4,2795,90,0,0,0,0,26,0.8,3,0.1,0,0,14,0.5
Scales Mound High School,Scales Mound CUSD 211,488,494,15,15,Illinois,42.4750406,-90.250785,210 Main Street,61075,Jo Daviess County,Scales Mound,17085,"210 Main Street, Scales Mound, Illinois, 61075",20101,17085020101,2019,20101,Jo Daviess County,Illinois,125,29,56,30,10,1489,62,66,494,359,162,191,155,23.2,44.8,24,8,4.2,4.4,33.2,24.1,10.9,12.8,10.4,895,74455,82777,2029,35,1.7,1994,98.3,1977,97.4,6,0.3,2,0.1,0,0,2,0.1,0,0,7,0.3
Carmi-White County High School,Carmi-White County CUSD 5,470.9,442.8,80,80,Illinois,38.0839666,-88.1708438,800 West Main Street,62821,White County,Carmi,17193,"800 West Main Street, Carmi, Illinois, 62821",958100,17193958100,2019,958100,White County,Illinois,166,16,82,46,22,2588,114,155,843,427,502,374,173,9.6,49.4,27.7,13.3,4.4,6,32.6,16.5,19.4,14.5,6.7,1656,48730,62013,3447,22,0.6,3425,99.4,3306,95.9,49,1.4,20,0.6,17,0.5,0,0,0,0,33,1
Litchfield Senior High School,Litchfield CUSD 12,481.2,464.1,83,83,Illinois,39.1889,-89.6554583,1705 North State Street,62056,Montgomery County,Litchfield,17135,"1705 North State Street, Litchfield, Illinois, 62056",957700,17135957700,2019,957700,Montgomery County,Illinois,169,17,16,136,0,1982,30,131,708,473,158,324,158,10.1,9.5,80.5,0,1.5,6.6,35.7,23.9,8,16.3,8,1227,53580,59740,2734,13,0.5,2721,99.5,2577,94.3,11,0.4,0,0,41,1.5,0,0,0,0,92,3.4
Collins Academy High School,City of Chicago SD 299,400.8,395.9,51,51,Illinois,41.8640759,-87.7011184,1313 South Sacramento Drive,60623,Cook County,Chicago,17031,"1313 South Sacramento Drive, Chicago, Illinois, 60623",843100,17031843100,2019,843100,Cook County,Illinois,211,23,5,30,153,924,42,51,286,264,48,157,76,10.9,2.4,14.2,72.5,4.5,5.5,31,28.6,5.2,17,8.2,451,32383,53000,1449,233,16.1,1216,83.9,264,18.2,923,63.7,0,0,0,0,0,0,0,0,29,2
YCCS-Latino Youth Alternative HS,City of Chicago SD 299,400.1,388.1,67,67,Illinois,41.8546488,-87.695255,2001 South California Avenue,60608,Cook County,Chicago,17031,"2001 South California Avenue, Chicago, Illinois, 60608",840700,17031840700,2019,840700,Cook County,Illinois,343,35,195,70,43,2437,894,156,142,410,106,623,106,10.2,56.9,20.4,12.5,36.7,6.4,5.8,16.8,4.3,25.6,4.3,1026,70163,73598,3508,2748,78.3,760,21.7,617,17.6,51,1.5,0,0,51,1.5,0,0,0,0,41,1.2
Norris City-Omaha-Enfield H S,Norris City-Omaha-Enfield CUSD 3,486.1,449.3,41,41,Illinois,38.0298072,-88.3044908,,N/A,White County,N/A,17193,,958400,17193958400,2019,958400,White County,Illinois,140,14,41,79,6,2002,37,79,777,512,293,199,105,10,29.3,56.4,4.3,1.8,3.9,38.8,25.6,14.6,9.9,5.2,1184,47214,66138,2882,0,0,2882,100,2866,99.4,4,0.1,0,0,0,0,0,0,0,0,12,0.4
Deerfield High School,Twp HSD 113,593.6,601.3,373,373,Illinois,42.186831,-87.853287,1959 Waukegan Road,60015,Lake County,Deerfield,17097,"1959 Waukegan Road, Deerfield, Illinois, 60015",864901,17097864901,2019,864901,Lake County,Illinois,311,27,136,87,61,2982,0,1,115,220,49,1203,1394,8.7,43.7,28,19.6,0,0,3.9,7.4,1.6,40.3,46.7,1597,196438,248048,4393,122,2.8,4271,97.2,4022,91.6,12,0.3,0,0,194,4.4,0,0,11,0.3,32,0.7
Lincoln Park High School,City of Chicago SD 299,532.3,540.4,495,495,Illinois,41.9184082,-87.6458448,2001 North Orchard Street,60614,Cook County,Chicago,17031,"2001 North Orchard Street, Chicago, Illinois, 60614",71200,17031071200,2019,71200,Cook County,Illinois,250,9,12,78,151,1412,10,0,59,26,50,763,504,3.6,4.8,31.2,60.4,0.7,0,4.2,1.8,3.5,54,35.7,887,115250,163189,1994,140,7,1854,93,1644,82.4,106,5.3,0,0,52,2.6,0,0,0,0,52,2.6
Byron High School 9-12,Byron CUSD 226,525.4,510.1,101,101,Illinois,42.1304,-89.2656985,696 North Colfax Street,61010,Ogle County,Byron,17141,"696 North Colfax Street, Byron, Illinois, 61010",961700,17141961700,2019,961700,Ogle County,Illinois,446,54,180,164,48,3121,49,90,834,876,345,654,273,12.1,40.4,36.8,10.8,1.6,2.9,26.7,28.1,11.1,21,8.7,1908,68264,86033,4712,327,6.9,4385,93.1,4256,90.3,0,0,0,0,23,0.5,0,0,0,0,106,2.2
Carbondale Comm H S,Carbondale CHSD 165,492.7,491.9,248,248,Illinois,37.7244682,-89.1868473,1301 East Walnut Street,62901,Jackson County,Carbondale,17077,"1301 East Walnut Street, Carbondale, Illinois, 62901",11200,17077011200,2019,11200,Jackson County,Illinois,1902,118,144,1026,614,2094,44,108,426,755,143,369,249,6.2,7.6,53.9,32.3,2.1,5.2,20.3,36.1,6.8,17.6,11.9,2442,23754,30537,4432,133,3,4299,97,2048,46.2,1833,41.4,0,0,295,6.7,0,0,0,0,123,2.8
Jacksonville High School,Jacksonville SD 117,462.6,450.3,258,258,Illinois,39.750431,-90.24005,1211 North Diamond Street,62650,Morgan County,Jacksonville,17137,"1211 North Diamond Street, Jacksonville, Illinois, 62650",951700,17137951700,2019,951700,Morgan County,Illinois,156,20,103,33,0,1753,107,86,896,442,155,42,25,12.8,66,21.2,0,6.1,4.9,51.1,25.2,8.8,2.4,1.4,953,36771,50638,2299,67,2.9,2232,97.1,2043,88.9,165,7.2,22,1,0,0,0,0,0,0,2,0.1
Roxana Sr High School,Roxana CUSD 1,456.2,456.4,111,111,Illinois,38.8500517,-90.0752407,323 Chaffer Avenue,62084,Madison County,Roxana,17119,"323 Chaffer Avenue, Roxana, Illinois, 62084",401000,17119401000,2019,401000,Madison County,Illinois,187,36,78,62,11,1746,28,117,631,482,173,262,53,19.3,41.7,33.2,5.9,1.6,6.7,36.1,27.6,9.9,15,3,1094,44514,64261,2450,19,0.8,2431,99.2,2308,94.2,57,2.3,9,0.4,11,0.4,3,0.1,0,0,43,1.8
Hardin County High School,Hardin County CUSD 1,472,445.3,40,40,Illinois,37.4703439,-88.2904898,4 School Rd,62931,Hardin County,Elizabethtown,17069,"4 School Rd, Elizabethtown, Illinois, 62931",971000,17069971000,2019,971000,Hardin County,Illinois,198,33,117,48,0,1303,31,137,515,244,194,131,51,16.7,59.1,24.2,0,2.4,10.5,39.5,18.7,14.9,10.1,3.9,695,48551,70594,1791,19,1.1,1772,98.9,1695,94.6,61,3.4,0,0,0,0,0,0,0,0,16,0.9
Hyde Park Academy High School,City of Chicago SD 299,413.2,397.4,163,163,Illinois,41.7821873,-87.5872712,6220 South Stony Island Avenue,60637,Cook County,Chicago,17031,"6220 South Stony Island Avenue, Chicago, Illinois, 60637",420100,17031420100,2019,420100,Cook County,Illinois,149,25,84,10,30,1136,20,76,285,408,137,105,105,16.8,56.4,6.7,20.1,1.8,6.7,25.1,35.9,12.1,9.2,9.2,829,19358,33321,1526,30,2,1496,98,36,2.4,1370,89.8,0,0,34,2.2,0,0,0,0,56,3.7
Perspectives Chtr - Leadership Acad,City of Chicago SD 299,411.2,396.9,51,51,Illinois,41.8608315,-87.6274658,1530 South State Street,60605,Cook County,Chicago,17031,"1530 South State Street, Chicago, Illinois, 60605",330200,17031330200,2019,330200,Cook County,Illinois,89,50,27,0,12,2808,109,7,328,264,32,912,1156,56.2,30.3,0,13.5,3.9,0.2,11.7,9.4,1.1,32.5,41.2,1815,118516,157455,3904,209,5.4,3695,94.6,1949,49.9,787,20.2,0,0,795,20.4,0,0,0,0,164,4.2
Gillespie High School,Gillespie CUSD 7,480.3,469.9,86,86,Illinois,39.1286642,-89.8263269,612 Broadway Street,62033,Macoupin County,Gillespie,17117,"612 Broadway Street, Gillespie, Illinois, 62033",956900,17117956900,2019,956900,Macoupin County,Illinois,218,32,96,82,8,2463,65,220,967,580,199,290,142,14.7,44,37.6,3.7,2.6,8.9,39.3,23.5,8.1,11.8,5.8,1518,45156,63542,3377,29,0.9,3348,99.1,3294,97.5,3,0.1,18,0.5,0,0,0,0,0,0,33,1
Lyons Twp High Sch,Lyons Twp HSD 204,557.1,574.3,928,928,Illinois,41.7909734,-87.8844309,,N/A,Cook County,N/A,17031,,820103,17031820103,2019,820103,Cook County,Illinois,307,25,63,197,22,2970,97,241,705,662,248,653,364,8.1,20.5,64.2,7.2,3.3,8.1,23.7,22.3,8.4,22,12.3,1558,75433,128005,4156,874,21,3282,79,3060,73.6,121,2.9,0,0,29,0.7,0,0,0,0,72,1.7
